date,country_code,value
2019-09-01,CN,1952250.49
2019-10-01,CN,1945600.55
2019-11-01,CN,1961429.56
2019-12-01,CN,1986488.82
2020-01-01,CN,2023066.49
2020-02-01,CN,2030830.42
2020-03-01,CN,2080923.41
2020-04-01,CN,2093533.83
2020-05-01,CN,2100183.74
2020-06-01,CN,2134948.66
2020-07-01,CN,2125458.46
2020-08-01,CN,2136836.91
2020-09-01,CN,2164084.8
2020-10-01,CN,2149720.42
2020-11-01,CN,2172002.55
2020-12-01,CN,2186795.89
2021-01-01,CN,2213047.33
2021-02-01,CN,2236030.26
2021-03-01,CN,2276488.45
2021-04-01,CN,2262107.12
2021-05-01,CN,2275538.07
2021-06-01,CN,2317788.36
2021-07-01,CN,2302153.82
2021-08-01,CN,2312267.68
2021-09-01,CN,2342829.7
2021-10-01,CN,2336160.48
2021-11-01,CN,2356012.76
2021-12-01,CN,2382899.56
2022-01-01,CN,2431022.72
2022-02-01,CN,2441488.9
2022-03-01,CN,2497688.34
2022-04-01,CN,2499710.9
2022-05-01,CN,2527026.15
2022-06-01,CN,2581451.2
2022-07-01,CN,2578078.57
2022-08-01,CN,2595068.27
2022-09-01,CN,2626600.92
2022-10-01,CN,2612914.57
2022-11-01,CN,2647008.48
2022-12-01,CN,2664320.84
2023-01-01,CN,2738072.06
2023-02-01,CN,2755249.23
2023-03-01,CN,2814566.31
2023-04-01,CN,2808469.34
2023-05-01,CN,2820504.68
2023-06-01,CN,2873023.83
2023-07-01,CN,2854031.56
2023-08-01,CN,2869343.25
2023-09-01,CN,2896659.11
2023-10-01,CN,2882276.07
2023-11-01,CN,2912014.22
2023-12-01,CN,2922713.33
2024-01-01,CN,2976250.2
2024-02-01,CN,2995572.97
2024-03-01,CN,3047952.16
2024-04-01,CN,3011941.98
2024-05-01,CN,3018506.73
2024-06-01,CN,3050161.54
2024-07-01,CN,3033060.78
2024-08-01,CN,3050461.27
2024-09-01,CN,3094798.24
2024-10-01,CN,3097092.01
2024-11-01,CN,3119587.27
2024-12-01,CN,3135322.3
2025-01-01,CN,3185247.18
2025-02-01,CN,3205173.24
2025-03-01,CN,3260554.57
2025-04-01,CN,3251739.32
2025-05-01,CN,3257838.11
2025-06-01,CN,3302868.17
2025-07-01,CN,3299429.06
2025-08-01,CN,3319831.44
2025-09-01,CN,3353771.03
2025-10-01,CN,3351312.31
