Period;Monetary aggregates: Monthly, Levels, M2 - total * (Million of CZK);
2026-06-30;7261008,9;
2026-05-31;7240709,8;
2026-04-30;7209016,2;
2026-03-31;7133098,2;
2026-02-28;7130369,1;
2026-01-31;7054547,5;
2025-12-31;7024883,4;
2025-11-30;6961943;
2025-10-31;6946593,1;
2025-09-30;6906634,5;
2025-08-31;6897660;
2025-07-31;6903269,3;
2025-06-30;6854868;
2025-05-31;6906525,8;
2025-04-30;6821942;
2025-03-31;6827644,3;
2025-02-28;6837086,2;
2025-01-31;6784340,8;
2024-12-31;6804052,7;
2024-11-30;6776350,7;
2024-10-31;6788051,7;
2024-09-30;6720818,8;
2024-08-31;6728656,5;
2024-07-31;6730930,1;
2024-06-30;6679350,8;
2024-05-31;6668969,7;
2024-04-30;6621336;
2024-03-31;6545992;
2024-02-29;6575845,2;
2024-01-31;6480236,5;
2023-12-31;6315998,3;
2023-11-30;6408229,8;
2023-10-31;6385569,8;
2023-09-30;6359434,7;
2023-08-31;6337061,5;
2023-07-31;6355701,9;
2023-06-30;6243102,7;
2023-05-31;6224257,3;
2023-04-30;6141272,5;
2023-03-31;6077548,3;
2023-02-28;6045116,7;
2023-01-31;5950888,2;
2022-12-31;5817117,1;
2022-11-30;5940210,6;
2022-10-31;5915934,5;
2022-09-30;5887405,6;
2022-08-31;5855415,5;
2022-07-31;5833040,2;
2022-06-30;5801917,2;
2022-05-31;5825723,8;
2022-04-30;5742427,3;
2022-03-31;5739159,1;
2022-02-28;5704249,8;
2022-01-31;5630383,7;
2021-12-31;5542014,8;
2021-11-30;5647837,3;
2021-10-31;5617130,6;
2021-09-30;5607639,4;
2021-08-31;5585492,4;
2021-07-31;5564521,5;
2021-06-30;5533467;
2021-05-31;5507491,4;
2021-04-30;5471474,2;
2021-03-31;5449356,1;
2021-02-28;5390398,3;
2021-01-31;5290479;
2020-12-31;5179738,6;
2020-11-30;5235568,2;
2020-10-31;5214187,7;
2020-09-30;5178041,5;
2020-08-31;5094308,1;
2020-07-31;5059232,7;
2020-06-30;5020790,9;
2020-05-31;5004666,9;
2020-04-30;4958595,7;
2020-03-31;4932508,5;
2020-02-29;4809150,5;
2020-01-31;4759124;
2019-12-31;4680322,5;
2019-11-30;4725508,5;
2019-10-31;4681223,4;
2019-09-30;4641345,1;
2019-08-31;4639859,4;
2019-07-31;4592275,6;
2019-06-30;4566459,5;
2019-05-31;4577407,6;
2019-04-30;4512969,7;
2019-03-31;4464312,9;
2019-02-28;4457696,4;
2019-01-31;4411934,6;
2018-12-31;4373595;
2018-11-30;4396797,9;
2018-10-31;4337116,7;
2018-09-30;4298066,6;
2018-08-31;4318593,9;
2018-07-31;4288848,4;
2018-06-30;4274973,1;
2018-05-31;4298226,9;
2018-04-30;4241318,9;
2018-03-31;4214303,6;
2018-02-28;4204413,1;
2018-01-31;4162727,2;
2017-12-31;4139907,9;
2017-11-30;4140657,6;
2017-10-31;4109347,6;
2017-09-30;4127941;
2017-08-31;4121927,6;
2017-07-31;4094654,8;
2017-06-30;4060060,4;
2017-05-31;4094147;
2017-04-30;4081978;
2017-03-31;4017463,4;
2017-02-28;3945119,3;
2017-01-31;3891072,3;
2016-12-31;3812905,5;
2016-11-30;3849082,4;
2016-10-31;3783983,1;
2016-09-30;3758738,4;
2016-08-31;3744791,9;
2016-07-31;3725644;
2016-06-30;3690058,3;
2016-05-31;3702794,3;
2016-04-30;3661713,5;
2016-03-31;3632237,8;
2016-02-29;3622849,3;
2016-01-31;3599727;
2015-12-31;3577992,8;
2015-11-30;3556385;
2015-10-31;3502753,7;
2015-09-30;3466902,2;
2015-08-31;3430151,4;
2015-07-31;3419180,6;
2015-06-30;3377484,5;
2015-05-31;3390052,5;
2015-04-30;3368176;
2015-03-31;3332309,5;
2015-02-28;3330004,7;
2015-01-31;3292105,4;
2014-12-31;3301158,4;
2014-11-30;3238165,3;
2014-10-31;3202006,5;
2014-09-30;3171521,4;
2014-08-31;3169130,2;
2014-07-31;3167890,4;
2014-06-30;3142213,6;
2014-05-31;3165959,6;
2014-04-30;3148018,4;
2014-03-31;3126444,6;
2014-02-28;3116626,1;
2014-01-31;3088469,2;
2013-12-31;3097920,2;
2013-11-30;3070322,4;
2013-10-31;3027604,7;
2013-09-30;3012468,3;
2013-08-31;3011787,4;
2013-07-31;3026742,1;
2013-06-30;2981373,1;
2013-05-31;2983006;
2013-04-30;2983255,4;
2013-03-31;2968084,7;
2013-02-28;2964974,1;
2013-01-31;2947320,7;
2012-12-31;2949574;
2012-11-30;2911366,8;
2012-10-31;2901251,3;
2012-09-30;2868038,2;
2012-08-31;2877996,9;
2012-07-31;2884564;
2012-06-30;2869554;
2012-05-31;2873941,2;
2012-04-30;2853190,6;
2012-03-31;2830756;
2012-02-29;2836929,1;
2012-01-31;2810082,7;
2011-12-31;2818680,2;
2011-11-30;2766283,4;
2011-10-31;2745291,1;
2011-09-30;2739667,5;
2011-08-31;2707950,3;
2011-07-31;2717102,7;
2011-06-30;2690130,5;
2011-05-31;2719433,4;
2011-04-30;2704409,4;
2011-03-31;2673812,8;
2011-02-28;2687563,2;
2011-01-31;2684440,5;
2010-12-31;2707985,5;
2010-11-30;2673542,4;
2010-10-31;2674346,8;
2010-09-30;2672467,8;
2010-08-31;2676339,2;
2010-07-31;2688201,7;
2010-06-30;2699721;
2010-05-31;2706023,3;
2010-04-30;2658356,4;
2010-03-31;2615430,2;
2010-02-28;2604636;
2010-01-31;2613108,2;
2009-12-31;2649474,9;
2009-11-30;2607425;
2009-10-31;2593463,1;
2009-09-30;2564931;
2009-08-31;2602237,9;
2009-07-31;2607629;
2009-06-30;2623407,7;
2009-05-31;2677539,2;
2009-04-30;2655169,1;
2009-03-31;2630718,6;
2009-02-28;2660287,8;
2009-01-31;2646649,6;
2008-12-31;2633893,5;
2008-11-30;2548374;
2008-10-31;2510264,1;
2008-09-30;2470692,5;
2008-08-31;2468169,9;
2008-07-31;2432765,2;
2008-06-30;2382676,5;
2008-05-31;2398932,1;
2008-04-30;2371463,6;
2008-03-31;2332645;
2008-02-29;2332657,2;
2008-01-31;2315205,5;
2007-12-31;2308662,8;
2007-11-30;2260273,2;
2007-10-31;2218763,7;
2007-09-30;2171105;
2007-08-31;2190246,6;
2007-07-31;2162789,3;
2007-06-30;2138669,3;
2007-05-31;2135636;
2007-04-30;2108093,7;
2007-03-31;2040597,2;
2007-02-28;2034778,4;
2007-01-31;2008484,7;
2006-12-31;1984629,2;
2006-11-30;1946581,8;
2006-10-31;1930600,8;
2006-09-30;1890417,6;
2006-08-31;1902606,9;
2006-07-31;1870437,2;
2006-06-30;1853332,4;
2006-05-31;1836479;
2006-04-30;1831666,2;
2006-03-31;1782170,1;
2006-02-28;1781266,7;
2006-01-31;1765945,6;
2005-12-31;1746148,2;
2005-11-30;1732929,2;
2005-10-31;1701737,6;
2005-09-30;1672753,7;
2005-08-31;1674838,9;
2005-07-31;1671234,8;
2005-06-30;1656472,7;
2005-05-31;1651245,2;
2005-04-30;1626076,4;
2005-03-31;1588817,2;
2005-02-28;1594197,2;
2005-01-31;1571843,3;
2004-12-31;1578889,8;
2004-11-30;1590256,1;
2004-10-31;1596899,4;
2004-09-30;1582199,6;
2004-08-31;1581312,4;
2004-07-31;1566887,9;
2004-06-30;1553886,1;
2004-05-31;1548622,6;
2004-04-30;1543667,7;
2004-03-31;1511369;
2004-02-29;1510599,5;
2004-01-31;1504296,1;
2003-12-31;1511507,4;
2003-11-30;1495211;
2003-10-31;1484453,3;
2003-09-30;1476599,6;
2003-08-31;1482925,2;
2003-07-31;1463791,5;
